Epochs,d1,d2,d3,Memory in bytes,Activity 1,MSE,Activity 2,MSE, ity 3,MSE,Activity 4,MSE,Activity 5,MSE,Activity 6,MSE,Activity 7,MSE,Activity 8,MSE,overall average,MSE
2000,8,8,8,91.5,1.1246295136217528,17.808251296797163,0.2912824457954131,18.84508011311696,2.8340927373632026,19.49043459161067,0.7236330056559189,20.00528155966508,0.45758603674829834,55.35936429453394,1.0686180483901468,63.358297619376664,1.8588065157733524,71.22711903624307,181.13478936033084,72.62878446663733,23.686679707959865,42.34032662224761
2000,8,8,10,86.925,0.9355249840003974,17.972968910355963,0.1280166349860729,18.71981277977778,3.701989718779614,19.174819250446575,0.5616667689581861,19.556613678858668,12.144915951245189,55.3444653110061,1.253564443520416,63.818476674580374,1.243838642059414,71.82350429069955,64.33245793756622,73.20771529920557,10.53774688513944,42.452297024366324
2000,8,8,12,83.875,1.1530546168091984,18.41890071180915,0.417527058307109,20.204475478053787,2.943505172250681,20.837475694728774,0.5954458728828221,21.20204098505604,0.4133923625367933,57.06931420219043,19.05238184681847,66.38081741067768,1.6526347272745783,75.57412847844407,29.95571319032162,77.01636426151056,7.0229568559001585,44.58793965280881
2000,8,8,16,80.0625,0.9527244839428205,18.476290091775713,0.33613705051017295,19.883963207838114,5.134340510527923,20.661421098287658,1.085282270035029,21.116637414531137,0.9255888406703552,56.936620124257395,1.6812821274007508,65.90991688467766,1.4740914450027514,74.8136106568912,32.70223252983958,76.31563861014025,5.536459907241173,44.26426226104989
2000,8,8,18,78.79166666666667,1.0548727975838514,18.527596488132517,0.39327746315102113,20.15005315559,3.957575094537213,20.755748321547788,0.8743603253521736,21.15143445569678,0.4472931452216964,57.131734329070845,2.7521849756155965,66.39986461804656,1.7290807135811366,75.67451135058964,26.329664850634863,77.12612201820558,4.692288670709694,44.61463309210996
2000,8,8,20,77.775,1.0681332934701666,17.82079185206253,0.47121173619655493,20.117294541987256,5.841858054523954,20.76646230854887,0.4719083524686752,21.200866265307084,0.4291328110667513,57.45046125770885,3.0682067384607685,66.86497106018696,1.8739231460276127,78.36757499774103,19.30092690069469,79.87356702906999,4.065662629113646,45.30774866407657
2000,8,10,8,86.925,0.5762408280234218,16.804601297469347,0.23830445361303998,17.59558496091166,2.6483956188556252,18.053832904025843,0.38103661190564364,18.416218693133565,0.3933740600983428,51.61333753543175,1.009131319738389,59.557012880462096,2.5338043585413486,67.1853084961384,12.410725488758558,68.3731608575674,2.523876592441796,39.69988220314251
2000,8,10,10,82.35,1.4652205957772553,17.87083158354384,0.22765623009063335,19.422894265385196,5.085321407379754,20.15492256813947,0.3440729225617282,20.498255539534412,1.8053580927567228,56.35735597051992,1.3563948035308293,65.00315535052985,2.968196675822562,73.08291707448596,52.64369301122354,74.46636627604428,8.236989217392878,43.357087328522866
2000,8,10,12,79.3,0.9391032606440297,17.74582396596556,0.15118090877116272,18.46905448678907,8.246878159413697,18.91617306198733,0.39842015498753425,19.26042497059237,0.810619548096177,54.994147876144176,1.3301184466378773,63.56894669466157,1.5677363316823063,71.62375695668739,20.687486635598663,72.98368231245082,4.266442930728931,42.19525129065978
2000,8,10,16,75.4875,1.164019275282167,17.611994237423364,0.3548511341125741,19.03641619048598,2.6170309228558657,19.78028805918234,1.1637136544582847,20.287457803890636,0.8755541700914287,56.0704675864762,1.6799728131935738,65.09145943357434,1.494185878646544,74.81957311869705,27.24026359721886,76.30339381074539,4.573698930732412,43.62513128005941
2000,8,10,18,74.21666666666667,1.1900667907971005,18.217346636518695,0.4420519725866101,19.952552694019577,2.0890346669876365,20.61332563642563,1.0938475275592867,21.061144479065533,0.4731504418329615,56.841378188718416,3.1170987511299786,66.16326366939815,2.2216004095583677,75.36900563570914,3279.5919724489027,76.84550763675888,411.27735287616935,44.382940572076755
