1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
1.167117,1.1681595,1.1785319,1.2031131,1.2248697,1.2547262,1.3297609,1.3997291,1.4654162,1.5439913,1.5614443,1.4984483,1.4570857,1.3888499,1.3175696,1.2798988,1.2444869,1.2320398,1.2405006,1.2383634,1.2169694,1.2334293,1.2237599,1.230167,1.230468,1.224862,1.2261385,1.2309651,1.2208196,1.236708,1.2273256,1.2082224,1.2049358,1.2302946,1.2236671,1.2164581,1.2162195,1.2211057,1.235071,1.2228795,1.2191253,1.2180494,1.2103608,1.2069366,1.2125432,1.2233449,1.224989,1.2287349,1.20711,1.2136887,1.2152474,1.2128541,1.1998838,1.2063988,1.2203531,1.2352552,1.2113811,1.2093551,1.2117022,1.2079324,1.2056792,1.204242,1.2304335,1.2117099,1.2154671,1.2061771,1.2245847,1.2061466,1.226166,1.2235694,1.2192757
0.8196523,0.911128,1.1520488,1.5712422,2.2001963,3.0141032,4.1474395,5.150689,5.9419146,6.341774,6.646689,6.596071,6.2981267,5.37416,4.433502,3.6172466,3.0702617,2.4167244,1.9405439,1.5258417,1.1482515,0.94668394,0.896749,0.84978646,0.8098938,0.79455405,0.7661633,0.7688639,0.7534008,0.7409854,0.7416545,0.76369196,0.74240315,0.73687553,0.74748135,0.7256635,0.744491,0.7316756,0.750345,0.74681103,0.7478141,0.7310997,0.7373502,0.7448614,0.7305106,0.7395882,0.7325807,0.72514975,0.7310043,0.74371886,0.73482573,0.734055,0.75989,0.752604,0.74304235,0.7381018,0.739289,0.72007716,0.7312183,0.74680537,0.731115,0.721177,0.7310966,0.7403233,0.729935,0.74436307,0.7372416,0.73170805,0.7350606,0.73583597,0.7312156
2.5515175,2.5951698,2.7388146,2.9113183,3.1668847,3.376103,3.668817,3.9277775,4.1202474,4.2543454,4.3636966,4.287238,4.162327,3.9576142,3.720182,3.53916,3.3860397,3.2312527,3.0919633,2.954169,2.7946692,2.6877513,2.6670678,2.6358404,2.6299198,2.6237235,2.5984256,2.5946074,2.5777967,2.5802798,2.5804408,2.5806355,2.579753,2.5625703,2.5888722,2.5696516,2.5850246,2.5800571,2.5890534,2.5853674,2.5881596,2.5793514,2.5806515,2.583397,2.5738106,2.5864873,2.5748827,2.5708804,2.5805874,2.5790641,2.5714467,2.5785394,2.6006753,2.582855,2.5848365,2.591477,2.5798943,2.5685933,2.566049,2.5778513,2.5765882,2.5641067,2.5578008,2.5769768,2.5588846,2.5851111,2.557956,2.5762057,2.5805724,2.580355,2.571416
1.339097,1.4161847,1.6157299,1.9456942,2.380399,2.8518336,3.4830368,4.0287867,4.448369,4.6736364,4.8408523,4.7654257,4.5861115,4.112967,3.6403835,3.2015588,2.87668,2.5122905,2.2155592,1.9281304,1.6413951,1.4736221,1.4250104,1.3784837,1.3517901,1.33199,1.3070658,1.3035784,1.2872956,1.2885783,1.2839859,1.2875714,1.2806097,1.2758341,1.2851169,1.273082,1.2802613,1.2775534,1.2888749,1.2825184,1.2827367,1.2746028,1.2772099,1.280942,1.2738869,1.2820139,1.27405,1.2724266,1.27128,1.2765738,1.273249,1.2738026,1.2859086,1.2804145,1.2804924,1.2836765,1.2763296,1.2635579,1.2677337,1.2764407,1.2714545,1.2642784,1.2699387,1.2754228,1.2648324,1.2786767,1.2723902,1.2714828,1.2763205,1.277415,1.2703478
1.5792418,1.5929854,1.6396408,1.7189356,1.8095382,1.8946755,2.0431564,2.1777806,2.2903783,2.393087,2.4333284,2.3590913,2.2921278,2.1738634,2.0527916,1.9657542,1.8875941,1.833427,1.799608,1.7531496,1.6880167,1.6693398,1.6512485,1.6446851,1.6445355,1.6346836,1.6304963,1.6304317,1.6185243,1.6369213,1.6268252,1.6050062,1.607094,1.6244116,1.6228939,1.6174347,1.615356,1.6221312,1.6321561,1.6207747,1.6181158,1.6184884,1.6114421,1.6080557,1.613138,1.6236513,1.6223732,1.6267146,1.608375,1.6109109,1.6127173,1.6125537,1.6010417,1.6041209,1.6190466,1.6346673,1.6108472,1.6093566,1.6081631,1.6050193,1.6070199,1.604631,1.6227427,1.6100088,1.6094323,1.6066028,1.6168948,1.6071465,1.6241827,1.6222084,1.6162305
1.0753206,1.0870372,1.1208361,1.1734086,1.2311273,1.2978475,1.4128376,1.5139772,1.6028972,1.6949018,1.7226124,1.6564941,1.6058885,1.5105623,1.4085097,1.3443522,1.2906691,1.2490709,1.2312235,1.2029784,1.1531707,1.1470388,1.1341693,1.1349187,1.1292735,1.123456,1.1203076,1.1256129,1.114742,1.1245712,1.1176572,1.1070086,1.0994325,1.1196284,1.1163039,1.1056321,1.1099916,1.1108695,1.1263025,1.1158469,1.112813,1.108477,1.103434,1.1019539,1.103691,1.1144067,1.1146914,1.1160765,1.0998493,1.1079447,1.1073364,1.1051116,1.099825,1.103781,1.1129512,1.1240126,1.1048682,1.0994818,1.1038892,1.1039246,1.0984126,1.0952597,1.1191671,1.1054907,1.1069548,1.1016495,1.1155472,1.0988843,1.1161557,1.1140294,1.1100042
10.400707,9.853919,9.748941,8.380735,7.9649043,6.9620843,6.141455,5.68181,5.4069057,5.2778034,5.6733446,5.5160265,5.2804585,5.707141,5.85372,6.45635,7.004281,7.7583814,8.204967,9.164695,9.912435,10.159396,10.701872,10.854528,11.246237,11.59004,11.392911,11.425273,11.301738,11.148246,11.378813,11.66107,11.80279,11.001887,11.677083,11.457676,11.674285,11.618529,11.5856695,11.628008,11.716907,11.612313,11.7506895,11.891939,11.639892,11.736698,11.440254,11.384761,11.819393,11.727849,11.608875,11.755622,12.437682,11.954465,11.776782,11.672465,11.8246765,11.607006,11.539376,11.813836,11.874217,11.604378,11.082295,11.736151,11.342773,12.015573,11.165412,11.786145,11.543967,11.662933,11.5416155
3.5760143,3.8169453,4.3530393,5.4860864,6.714382,8.075567,9.708316,10.94828,11.838966,12.116333,12.245068,12.336949,12.156434,11.179089,10.269553,9.110367,8.143304,7.090477,6.2008185,5.254914,4.390247,3.8841221,3.6736271,3.5093296,3.4311728,3.3358312,3.2956572,3.2553048,3.2299047,3.2964847,3.2488267,3.182755,3.2061925,3.2352304,3.2077157,3.225904,3.1874504,3.2196822,3.217504,3.1981816,3.1963065,3.2034295,3.1918082,3.1876001,3.19892,3.2092655,3.204251,3.2217803,3.1700299,3.1689286,3.1790884,3.1794815,3.1282456,3.1535428,3.1929755,3.2131047,3.1794727,3.1871734,3.168839,3.1568758,3.1851969,3.1873567,3.210103,3.1796741,3.1766515,3.1643038,3.1932921,3.1849678,3.2026777,3.1993806,3.1909955
0.94050604,0.96083736,1.0082607,1.1086835,1.2034948,1.3160646,1.4908931,1.6409382,1.7699237,1.876376,1.9054266,1.833768,1.779259,1.6384482,1.5090864,1.3985689,1.3098136,1.2339181,1.185353,1.1207705,1.0387142,1.0137857,0.9892649,0.981753,0.97419786,0.96071583,0.9586419,0.96004564,0.9492829,0.96523875,0.9541929,0.9366757,0.93539304,0.9574095,0.9480111,0.9462303,0.9406967,0.94795203,0.9588608,0.94668865,0.9427713,0.9434583,0.9377516,0.9352736,0.9412509,0.9486859,0.94916403,0.9546544,0.9323535,0.9381841,0.94211346,0.93841976,0.9238183,0.9321785,0.94473296,0.9575706,0.9374428,0.9349203,0.937604,0.9333336,0.9327226,0.93305,0.956408,0.9374604,0.9406664,0.9321424,0.9520785,0.93299717,0.94907004,0.94806564,0.9435025
2.5049078,2.5095847,2.5598452,2.6046636,2.6945596,2.750843,2.873661,2.9961073,3.0952535,3.1955075,3.2548645,3.176141,3.0938714,2.9939125,2.8731303,2.8095732,2.7461271,2.7132723,2.691675,2.6683292,2.6245723,2.6085117,2.6049879,2.6005774,2.609626,2.609152,2.5989764,2.5986435,2.5850732,2.5982711,2.5944083,2.57875,2.582184,2.5828137,2.5987701,2.5847077,2.5930283,2.5944762,2.6036477,2.5959773,2.5962312,2.5930653,2.5879908,2.5861177,2.5852058,2.5988317,2.5926683,2.593015,2.589082,2.5873284,2.5838368,2.5890365,2.5936995,2.58393,2.5954363,2.6098552,2.5877385,2.5836396,2.579152,2.582417,2.5844772,2.5761669,2.581349,2.585258,2.5757062,2.587916,2.5762796,2.5842683,2.5974073,2.5952897,2.5876198
